"Counter","ICD-10 code","WHO update 1=Add 2=Del","ICD-10 code descriptor","ICD-10-AM Map","Aust update 1=Add 2=Del","Additive Map (+)","ICD-10-AM code descriptor"
223,"X91",,"Assault by hanging, strangulation and suffocation","X91.02",,,"Assault by hanging, strangulation and suffocation, other family member"
224,"X91",,"Assault by hanging, strangulation and suffocation","X91.03",,,"Assault by hanging, strangulation and suffocation, carer"
225,"X91",,"Assault by hanging, strangulation and suffocation","X91.04",,,"Assault by hanging, strangulation and suffocation, acquaintance or friend"
226,"X91",,"Assault by hanging, strangulation and suffocation","X91.05",,,"Assault by hanging, strangulation and suffocation, official authorities"
227,"X91",,"Assault by hanging, strangulation and suffocation","X91.06",,,"Assault by hanging, strangulation and suffocation, person unknown to the victim"
228,"X91",,"Assault by hanging, strangulation and suffocation","X91.07",,,"Assault by hanging, strangulation and suffocation, multiple persons unknown to the victim"
229,"X92",,"Assault by drowning and submersion","X92.99",,,"Assault by drowning and submersion in unspecified water, unspecified person"
230,"X92",,"Assault by drowning and submersion","X92.98",,,"Assault by drowning and submersion in unspecified water, other specified person"
231,"X92",,"Assault by drowning and submersion","X92.90",,,"Assault by drowning and submersion in unspecified water, spouse or domestic partner"
232,"X92",,"Assault by drowning and submersion","X92.91",,,"Assault by drowning and submersion in unspecified water, parent"
233,"X92",,"Assault by drowning and submersion","X92.92",,,"Assault by drowning and submersion in unspecified water, other family member"
234,"X92",,"Assault by drowning and submersion","X92.93",,,"Assault by drowning and submersion in unspecified water, carer"
235,"X92",,"Assault by drowning and submersion","X92.94",,,"Assault by drowning and submersion in unspecified water, acquaintance or friend"
236,"X92",,"Assault by drowning and submersion","X92.95",,,"Assault by drowning and submersion in unspecified water, official authorities"
237,"X92",,"Assault by drowning and submersion","X92.96",,,"Assault by drowning and submersion in unspecified water, person unknown to the victim"
238,"X92",,"Assault by drowning and submersion","X92.97",,,"Assault by drowning and submersion in unspecified water, multiple persons unknown to the victim"
239,"X92",,"Assault by drowning and submersion","X92.89",,,"Assault by drowning and submersion in other specified water, unspecified person"
240,"X92",,"Assault by drowning and submersion","X92.88",,,"Assault by drowning and submersion in other specified water, other specified person"
241,"X92",,"Assault by drowning and submersion","X92.80",,,"Assault by drowning and submersion in other specified water, spouse or domestic partner"
242,"X92",,"Assault by drowning and submersion","X92.81",,,"Assault by drowning and submersion in other specified water, parent"
243,"X92",,"Assault by drowning and submersion","X92.82",,,"Assault by drowning and submersion in other specified water, other family member"
244,"X92",,"Assault by drowning and submersion","X92.83",,,"Assault by drowning and submersion in other specified water, carer"
245,"X92",,"Assault by drowning and submersion","X92.84",,,"Assault by drowning and submersion in other specified water, acquaintance or friend"
246,"X92",,"Assault by drowning and submersion","X92.85",,,"Assault by drowning and submersion in other specified water, official authorities"
247,"X92",,"Assault by drowning and submersion","X92.86",,,"Assault by drowning and submersion in other specified water, person unknown to the victim"
248,"X92",,"Assault by drowning and submersion","X92.87",,,"Assault by drowning and submersion in other specified water, multiple persons unknown to the victim"
249,"X92",,"Assault by drowning and submersion","X92.09",,,"Assault by drowning and submersion in bath-tub, unspecified person"
250,"X92",,"Assault by drowning and submersion","X92.08",,,"Assault by drowning and submersion in bath-tub, other specified person"
251,"X92",,"Assault by drowning and submersion","X92.00",,,"Assault by drowning and submersion in bath-tub, spouse or domestic partner"
252,"X92",,"Assault by drowning and submersion","X92.01",,,"Assault by drowning and submersion in bath-tub, parent"
253,"X92",,"Assault by drowning and submersion","X92.02",,,"Assault by drowning and submersion in bath-tub, other family member"
254,"X92",,"Assault by drowning and submersion","X92.03",,,"Assault by drowning and submersion in bath-tub, carer"
255,"X92",,"Assault by drowning and submersion","X92.04",,,"Assault by drowning and submersion in bath-tub, acquaintance or friend"
256,"X92",,"Assault by drowning and submersion","X92.05",,,"Assault by drowning and submersion in bath-tub, official authorities"
257,"X92",,"Assault by drowning and submersion","X92.06",,,"Assault by drowning and submersion in bath-tub, person unknown to the victim"
258,"X92",,"Assault by drowning and submersion","X92.07",,,"Assault by drowning and submersion in bath-tub, multiple persons unknown to the victim"
259,"X92",,"Assault by drowning and submersion","X92.19",,,"Assault by drowning and submersion in swimming pool, unspecified person"
260,"X92",,"Assault by drowning and submersion","X92.18",,,"Assault by drowning and submersion in swimming pool, other specified person"
261,"X92",,"Assault by drowning and submersion","X92.10",,,"Assault by drowning and submersion in swimming pool, spouse or domestic partner"
262,"X92",,"Assault by drowning and submersion","X92.11",,,"Assault by drowning and submersion in swimming pool, parent"
263,"X92",,"Assault by drowning and submersion","X92.12",,,"Assault by drowning and submersion in swimming pool, other family member"
264,"X92",,"Assault by drowning and submersion","X92.13",,,"Assault by drowning and submersion in swimming pool, carer"
265,"X92",,"Assault by drowning and submersion","X92.14",,,"Assault by drowning and submersion in swimming pool, acquaintance or friend"
266,"X92",,"Assault by drowning and submersion","X92.15",,,"Assault by drowning and submersion in swimming pool, official authorities"
267,"X92",,"Assault by drowning and submersion","X92.16",,,"Assault by drowning and submersion in swimming pool, person unknown to the victim"
268,"X92",,"Assault by drowning and submersion","X92.17",,,"Assault by drowning and submersion in swimming pool, multiple persons unknown to the victim"
269,"X92",,"Assault by drowning and submersion","X92.29",,,"Assault by drowning and submersion in natural water, unspecified person"
270,"X92",,"Assault by drowning and submersion","X92.28",,,"Assault by drowning and submersion in natural water, other specified person"
271,"X92",,"Assault by drowning and submersion","X92.20",,,"Assault by drowning and submersion in natural water, spouse or domestic partner"
272,"X92",,"Assault by drowning and submersion","X92.21",,,"Assault by drowning and submersion in natural water, parent"
273,"X92",,"Assault by drowning and submersion","X92.22",,,"Assault by drowning and submersion in natural water, other family member"
274,"X92",,"Assault by drowning and submersion","X92.23",,,"Assault by drowning and submersion in natural water, carer"
275,"X92",,"Assault by drowning and submersion","X92.24",,,"Assault by drowning and submersion in natural water, acquaintance or friend"
276,"X92",,"Assault by drowning and submersion","X92.25",,,"Assault by drowning and submersion in natural water, official authorities"
277,"X92",,"Assault by drowning and submersion","X92.26",,,"Assault by drowning and submersion in natural water, person unknown to the victim"
278,"X92",,"Assault by drowning and submersion","X92.27",,,"Assault by drowning and submersion in natural water, multiple persons unknown to the victim"
279,"X93",,"Assault by handgun discharge","X93.09",,,"Assault by handgun discharge, unspecified person"
280,"X93",,"Assault by handgun discharge","X93.08",,,"Assault by handgun discharge, other specified person"
281,"X93",,"Assault by handgun discharge","X93.00",,,"Assault by handgun discharge, spouse or domestic partner"
282,"X93",,"Assault by handgun discharge","X93.01",,,"Assault by handgun discharge, parent"
283,"X93",,"Assault by handgun discharge","X93.02",,,"Assault by handgun discharge, other family member"
284,"X93",,"Assault by handgun discharge","X93.03",,,"Assault by handgun discharge, carer"
285,"X93",,"Assault by handgun discharge","X93.04",,,"Assault by handgun discharge, acquaintance or friend"
286,"X93",,"Assault by handgun discharge","X93.05",,,"Assault by handgun discharge, official authorities"
287,"X93",,"Assault by handgun discharge","X93.06",,,"Assault by handgun discharge, person unknown to the victim"
288,"X93",,"Assault by handgun discharge","X93.07",,,"Assault by handgun discharge, multiple persons unknown to the victim"
289,"X95",,"Assault by other and unspecified firearm","X95.99",,,"Assault by other and unspecified firearm discharge, unspecified person"
290,"X95",,"Assault by other and unspecified firearm","X95.98",,,"Assault by other and unspecified firearm discharge, other specified person"
291,"X95",,"Assault by other and unspecified firearm","X95.90",,,"Assault by other and unspecified firearm discharge, spouse or domestic partner"
292,"X95",,"Assault by other and unspecified firearm","X95.91",,,"Assault by other and unspecified firearm discharge, parent"
293,"X95",,"Assault by other and unspecified firearm","X95.92",,,"Assault by other and unspecified firearm discharge, other family member"
294,"X95",,"Assault by other and unspecified firearm","X95.93",,,"Assault by other and unspecified firearm discharge, carer"
295,"X95",,"Assault by other and unspecified firearm","X95.94",,,"Assault by other and unspecified firearm discharge, acquaintance or friend"
296,"X95",,"Assault by other and unspecified firearm","X95.95",,,"Assault by other and unspecified firearm discharge, official authorities"
297,"X95",,"Assault by other and unspecified firearm","X95.96",,,"Assault by other and unspecified firearm discharge, person unknown to the victim"
298,"X95",,"Assault by other and unspecified firearm","X95.97",,,"Assault by other and unspecified firearm discharge, multiple persons unknown to the victim"
299,"X95",,"Assault by other and unspecified firearm","X95.19",,,"Assault by air rifle discharge, unspecified person"
300,"X95",,"Assault by other and unspecified firearm","X95.18",,,"Assault by air rifle discharge, other specified person"
301,"X95",,"Assault by other and unspecified firearm","X95.10",,,"Assault by air rifle discharge, spouse or domestic partner"
302,"X95",,"Assault by other and unspecified firearm","X95.11",,,"Assault by air rifle discharge, parent"
303,"X95",,"Assault by other and unspecified firearm","X95.12",,,"Assault by air rifle discharge, other family member"
304,"X95",,"Assault by other and unspecified firearm","X95.13",,,"Assault by air rifle discharge, carer"
305,"X95",,"Assault by other and unspecified firearm","X95.14",,,"Assault by air rifle discharge, acquaintance or friend"
306,"X95",,"Assault by other and unspecified firearm","X95.15",,,"Assault by air rifle discharge, official authorities"
307,"X95",,"Assault by other and unspecified firearm","X95.16",,,"Assault by air rifle discharge, person unknown to the victim"
308,"X95",,"Assault by other and unspecified firearm","X95.17",,,"Assault by air rifle discharge, multiple persons unknown to the victim"
309,"X95",,"Assault by other and unspecified firearm","X95.29",,,"Assault by shotgun discharge, unspecified person"
310,"X95",,"Assault by other and unspecified firearm","X95.28",,,"Assault by shotgun discharge, other specified person"
311,"X95",,"Assault by other and unspecified firearm","X95.20",,,"Assault by shotgun discharge, spouse or domestic partner"
312,"X95",,"Assault by other and unspecified firearm","X95.21",,,"Assault by shotgun discharge, parent"
313,"X95",,"Assault by other and unspecified firearm","X95.22",,,"Assault by shotgun discharge, other family member"
314,"X95",,"Assault by other and unspecified firearm","X95.23",,,"Assault by shotgun discharge, carer"
315,"X95",,"Assault by other and unspecified firearm","X95.24",,,"Assault by shotgun discharge, acquaintance or friend"
316,"X95",,"Assault by other and unspecified firearm","X95.25",,,"Assault by shotgun discharge, official authorities"
317,"X95",,"Assault by other and unspecified firearm","X95.26",,,"Assault by shotgun discharge, person unknown to the victim"
318,"X95",,"Assault by other and unspecified firearm","X95.27",,,"Assault by shotgun discharge, multiple persons unknown to the victim"
319,"X95",,"Assault by other and unspecified firearm","X95.39",,,"Assault by small calibre rifle discharge, unspecified person"
320,"X95",,"Assault by other and unspecified firearm","X95.38",,,"Assault by small calibre rifle discharge, other specified person"
321,"X95",,"Assault by other and unspecified firearm","X95.30",,,"Assault by small calibre rifle discharge, spouse or domestic partner"
322,"X95",,"Assault by other and unspecified firearm","X95.31",,,"Assault by small calibre rifle discharge, parent"
323,"X95",,"Assault by other and unspecified firearm","X95.32",,,"Assault by small calibre rifle discharge, other family member"
324,"X95",,"Assault by other and unspecified firearm","X95.33",,,"Assault by small calibre rifle discharge, carer"
325,"X95",,"Assault by other and unspecified firearm","X95.34",,,"Assault by small calibre rifle discharge, acquaintance or friend"
326,"X95",,"Assault by other and unspecified firearm","X95.35",,,"Assault by small calibre rifle discharge, official authorities"
327,"X95",,"Assault by other and unspecified firearm","X95.36",,,"Assault by small calibre rifle discharge, person unknown to the victim"
328,"X95",,"Assault by other and unspecified firearm","X95.37",,,"Assault by small calibre rifle discharge, multiple persons unknown to the victim"
329,"X95",,"Assault by other and unspecified firearm","X95.49",,,"Assault by large calibre rifle discharge, unspecified person"
330,"X95",,"Assault by other and unspecified firearm","X95.48",,,"Assault by large calibre rifle discharge, other specified person"
331,"X95",,"Assault by other and unspecified firearm","X95.40",,,"Assault by large calibre rifle discharge, spouse or domestic partner"
332,"X95",,"Assault by other and unspecified firearm","X95.41",,,"Assault by large calibre rifle discharge, parent"
333,"X95",,"Assault by other and unspecified firearm","X95.42",,,"Assault by large calibre rifle discharge, other family member"
334,"X95",,"Assault by other and unspecified firearm","X95.43",,,"Assault by large calibre rifle discharge, carer"
335,"X95",,"Assault by other and unspecified firearm","X95.44",,,"Assault by large calibre rifle discharge, acquaintance or friend"
336,"X95",,"Assault by other and unspecified firearm","X95.45",,,"Assault by large calibre rifle discharge, official authorities"
337,"X95",,"Assault by other and unspecified firearm","X95.46",,,"Assault by large calibre rifle discharge, person unknown to the victim"
338,"X95",,"Assault by other and unspecified firearm","X95.47",,,"Assault by large calibre rifle discharge, multiple persons unknown to the victim"
339,"X97",,"Assault by smoke, fire and flames","X97.09",,,"Assault by smoke, fire and flames, unspecified person"
340,"X97",,"Assault by smoke, fire and flames","X97.08",,,"Assault by smoke, fire and flames, other specified person"
341,"X97",,"Assault by smoke, fire and flames","X97.00",,,"Assault by smoke, fire and flames, spouse or domestic partner"
342,"X97",,"Assault by smoke, fire and flames","X97.01",,,"Assault by smoke, fire and flames, parent"
343,"X97",,"Assault by smoke, fire and flames","X97.02",,,"Assault by smoke, fire and flames, other family member"
344,"X97",,"Assault by smoke, fire and flames","X97.03",,,"Assault by smoke, fire and flames, carer"
345,"X97",,"Assault by smoke, fire and flames","X97.04",,,"Assault by smoke, fire and flames, acquaintance or friend"
346,"X97",,"Assault by smoke, fire and flames","X97.05",,,"Assault by smoke, fire and flames, official authorities"
347,"X97",,"Assault by smoke, fire and flames","X97.06",,,"Assault by smoke, fire and flames, person unknown to the victim"
348,"X97",,"Assault by smoke, fire and flames","X97.07",,,"Assault by smoke, fire and flames, multiple persons unknown to the victim"
349,"X98",,"Assault by steam, hot vapours and hot objects","X98.09",,,"Assault by steam, hot vapours and hot objects, unspecified person"
350,"X98",,"Assault by steam, hot vapours and hot objects","X98.08",,,"Assault by steam, hot vapours and hot objects, other specified person"
351,"X98",,"Assault by steam, hot vapours and hot objects","X98.00",,,"Assault by steam, hot vapours and hot objects, spouse or domestic partner"
352,"X98",,"Assault by steam, hot vapours and hot objects","X98.01",,,"Assault by steam, hot vapours and hot objects, parent"
353,"X98",,"Assault by steam, hot vapours and hot objects","X98.02",,,"Assault by steam, hot vapours and hot objects, other family member"
354,"X98",,"Assault by steam, hot vapours and hot objects","X98.03",,,"Assault by steam, hot vapours and hot objects, carer"
355,"X98",,"Assault by steam, hot vapours and hot objects","X98.04",,,"Assault by steam, hot vapours and hot objects, acquaintance or friend"
356,"X98",,"Assault by steam, hot vapours and hot objects","X98.05",,,"Assault by steam, hot vapours and hot objects, official authorities"
357,"X98",,"Assault by steam, hot vapours and hot objects","X98.06",,,"Assault by steam, hot vapours and hot objects, person unknown to the victim"
358,"X98",,"Assault by steam, hot vapours and hot objects","X98.07",,,"Assault by steam, hot vapours and hot objects, multiple persons unknown to the victim"
359,"X99",,"Assault by sharp object","X99.99",,,"Assault by sharp object, unspecified, unspecified person"
360,"X99",,"Assault by sharp object","X99.98",,,"Assault by sharp object, unspecified, other specified person"
361,"X99",,"Assault by sharp object","X99.90",,,"Assault by sharp object, unspecified, spouse or domestic partner"
362,"X99",,"Assault by sharp object","X99.91",,,"Assault by sharp object, unspecified, parent"
363,"X99",,"Assault by sharp object","X99.92",,,"Assault by sharp object, unspecified, other family member"
364,"X99",,"Assault by sharp object","X99.93",,,"Assault by sharp object, unspecified, carer"
365,"X99",,"Assault by sharp object","X99.94",,,"Assault by sharp object, unspecified, acquaintance or friend"
366,"X99",,"Assault by sharp object","X99.95",,,"Assault by sharp object, unspecified, official authorities"
367,"X99",,"Assault by sharp object","X99.96",,,"Assault by sharp object, unspecified, person unknown to the victim"
368,"X99",,"Assault by sharp object","X99.97",,,"Assault by sharp object, unspecified, multiple persons unknown to the victim"
369,"X99",,"Assault by sharp object","X99.89",,,"Assault by other specified sharp object, unspecified person"
370,"X99",,"Assault by sharp object","X99.88",,,"Assault by other specified sharp object, other specified person"
371,"X99",,"Assault by sharp object","X99.80",,,"Assault by other specified sharp object, spouse or domestic partner"
372,"X99",,"Assault by sharp object","X99.81",,,"Assault by other specified sharp object, parent"
373,"X99",,"Assault by sharp object","X99.82",,,"Assault by other specified sharp object, other family member"
374,"X99",,"Assault by sharp object","X99.83",,,"Assault by other specified sharp object, carer"
375,"X99",,"Assault by sharp object","X99.84",,,"Assault by other specified sharp object, acquaintance or friend"
376,"X99",,"Assault by sharp object","X99.85",,,"Assault by other specified sharp object, official authorities"
377,"X99",,"Assault by sharp object","X99.86",,,"Assault by other specified sharp object, person unknown to the victim"
378,"X99",,"Assault by sharp object","X99.87",,,"Assault by other specified sharp object, multiple persons unknown to the victim"
379,"X99",,"Assault by sharp object","X99.09",,,"Assault by knife, unspecified person"
380,"X99",,"Assault by sharp object","X99.08",,,"Assault by knife, other specified person"
381,"X99",,"Assault by sharp object","X99.00",,,"Assault by knife, spouse or domestic partner"
382,"X99",,"Assault by sharp object","X99.01",,,"Assault by knife, parent"
383,"X99",,"Assault by sharp object","X99.02",,,"Assault by knife, other family member"
384,"X99",,"Assault by sharp object","X99.03",,,"Assault by knife, carer"
385,"X99",,"Assault by sharp object","X99.04",,,"Assault by knife, acquaintance or friend"
386,"X99",,"Assault by sharp object","X99.05",,,"Assault by knife, official authorities"
387,"X99",,"Assault by sharp object","X99.06",,,"Assault by knife, person unknown to the victim"
388,"X99",,"Assault by sharp object","X99.07",,,"Assault by knife, multiple persons unknown to the victim"
389,"X99",,"Assault by sharp object","X99.19",,,"Assault by razor blade, unspecified person"
390,"X99",,"Assault by sharp object","X99.18",,,"Assault by razor blade, other specified person"
391,"X99",,"Assault by sharp object","X99.10",,,"Assault by razor blade, spouse or domestic partner"
392,"X99",,"Assault by sharp object","X99.11",,,"Assault by razor blade, parent"
393,"X99",,"Assault by sharp object","X99.12",,,"Assault by razor blade, other family member"
394,"X99",,"Assault by sharp object","X99.13",,,"Assault by razor blade, carer"
395,"X99",,"Assault by sharp object","X99.14",,,"Assault by razor blade, acquaintance or friend"
396,"X99",,"Assault by sharp object","X99.15",,,"Assault by razor blade, official authorities"
397,"X99",,"Assault by sharp object","X99.16",,,"Assault by razor blade, person unknown to the victim"
398,"X99",,"Assault by sharp object","X99.17",,,"Assault by razor blade, multiple persons unknown to the victim"
399,"X99",,"Assault by sharp object","X99.29",,,"Assault by hypodermic needle and syringe, unspecified person"
400,"X99",,"Assault by sharp object","X99.28",,,"Assault by hypodermic needle and syringe, other specified person"
401,"X99",,"Assault by sharp object","X99.20",,,"Assault by hypodermic needle and syringe, spouse or domestic partner"
402,"X99",,"Assault by sharp object","X99.21",,,"Assault by hypodermic needle and syringe, parent"
403,"X99",,"Assault by sharp object","X99.22",,,"Assault by hypodermic needle and syringe, other family member"
404,"X99",,"Assault by sharp object","X99.23",,,"Assault by hypodermic needle and syringe, carer"
405,"X99",,"Assault by sharp object","X99.24",,,"Assault by hypodermic needle and syringe, acquaintance or friend"
406,"X99",,"Assault by sharp object","X99.25",,,"Assault by hypodermic needle and syringe, official authorities"
407,"X99",,"Assault by sharp object","X99.26",,,"Assault by hypodermic needle and syringe, person unknown to the victim"
408,"X99",,"Assault by sharp object","X99.27",,,"Assault by hypodermic needle and syringe, multiple persons unknown to the victim"
409,"X99",,"Assault by sharp object","X99.39",,,"Assault by glass, unspecified person"
410,"X99",,"Assault by sharp object","X99.38",,,"Assault by glass, other specified person"
411,"X99",,"Assault by sharp object","X99.30",,,"Assault by glass, spouse or domestic partner"
412,"X99",,"Assault by sharp object","X99.31",,,"Assault by glass, parent"
413,"X99",,"Assault by sharp object","X99.32",,,"Assault by glass, other family member"
414,"X99",,"Assault by sharp object","X99.33",,,"Assault by glass, carer"
415,"X99",,"Assault by sharp object","X99.34",,,"Assault by glass, acquaintance or friend"
416,"X99",,"Assault by sharp object","X99.35",,,"Assault by glass, official authorities"
417,"X99",,"Assault by sharp object","X99.36",,,"Assault by glass, person unknown to the victim"
418,"X99",,"Assault by sharp object","X99.37",,,"Assault by glass, multiple persons unknown to the victim"
