"Counter","ICD-10 code","WHO update 1=Add 2=Del","ICD-10 code descriptor","ICD-10-AM Map","Aust update 1=Add 2=Del","Additive Map (+)","ICD-10-AM code descriptor"
318,"Y42.2",,"Antithyroid drugs causing adverse effects in therapeutic use","Y42.2",,,"Antithyroid drugs causing adverse effects in therapeutic use"
319,"Y42.3",,"Insulin and oral hypoglycaemic [antidiabetic] drugs causing adverse effects in therapeutic use","Y42.3",,,"Insulin and oral hypoglycaemic [antidiabetic] drugs causing adverse effects in therapeutic use"
320,"Y42.4",,"Oral contraceptives causing adverse effects in therapeutic use","Y42.4",,,"Oral contraceptives causing adverse effects in therapeutic use"
321,"Y42.5",,"Other oestrogens and progestogens causing adverse effects in therapeutic use","Y42.5",,,"Other oestrogens and progestogens causing adverse effects in therapeutic use"
322,"Y42.6",,"Antigonadotrophins, anti-oestrogens, antiandrogens, not elsewhere classified causing adverse effects in therapeutic use","Y42.6",,,"Antigonadotrophins, anti-oestrogens, antiandrogens, not elsewhere classified causing adverse effects in therapeutic use"
323,"Y42.7",,"Androgens and anabolic congeners causing adverse effects in therapeutic use","Y42.7",,,"Androgens and anabolic congeners causing adverse effects in therapeutic use"
324,"Y42.8",,"Other and unspecified hormones and their synthetic substitutes causing adverse effects in therapeutic use","Y42.8",,,"Other and unspecified hormones and their synthetic substitutes causing adverse effects in therapeutic use"
325,"Y42.9",,"Other and unspecified hormone antagonists causing adverse effects in therapeutic use","Y42.9",,,"Other and unspecified hormone antagonists causing adverse effects in therapeutic use"
326,"Y43.0",,"Antiallergic and antiemetic drugs causing adverse effects in therapeutic use","Y43.0",,,"Antiallergic and antiemetic drugs causing adverse effects in therapeutic use"
327,"Y43.1",,"Antineoplastic antimetabolites causing adverse effects in therapeutic use","Y43.1",,,"Antineoplastic antimetabolites causing adverse effects in therapeutic use"
328,"Y43.2",,"Antineoplastic natural products causing adverse effects in therapeutic use","Y43.2",,,"Antineoplastic natural products causing adverse effects in therapeutic use"
329,"Y43.3",,"Other antineoplastic drugs causing adverse effects in therapeutic use","Y43.3",,,"Other antineoplastic drugs causing adverse effects in therapeutic use"
330,"Y43.4",,"Immunosuppressive agents causing adverse effects in therapeutic use","Y43.4",,,"Immunosuppressive agents causing adverse effects in therapeutic use"
331,"Y43.5",,"Acidifying and alkalising agents causing adverse effects in therapeutic use","Y43.5",,,"Acidifying and alkalising agents causing adverse effects in therapeutic use"
332,"Y43.6",,"Enzymes, not elsewhere classified causing adverse effects in therapeutic use","Y43.6",,,"Enzymes, not elsewhere classified causing adverse effects in therapeutic use"
333,"Y43.8",,"Other primarily systemic agents, not elsewhere classified causing adverse effects in therapeutic use","Y43.8",,,"Other primarily systemic agents, not elsewhere classified causing adverse effects in therapeutic use"
334,"Y43.9",,"Primarily systemic agent, unspecified causing adverse effects in therapeutic use","Y43.9",,,"Primarily systemic agent, unspecified causing adverse effects in therapeutic use"
335,"Y44.0",,"Iron preparations and other anti-hypochromic-anaemia preparations causing adverse effects in therapeutic use","Y44.0",,,"Iron preparations and other anti-hypochromic-anaemia preparations causing adverse effects in therapeutic use"
336,"Y44.1",,"Vitamin B12, folic acid and other anti-megaloblastic-anaemia preparations causing adverse effects in therapeutic use","Y44.1",,,"Vitamin B12, folic acid and other anti-megaloblastic-anaemia preparations causing adverse effects in therapeutic use"
337,"Y44.2",,"Anticoagulants causing adverse effects in therapeutic use","Y44.2",,,"Anticoagulants causing adverse effects in therapeutic use"
338,"Y44.3",,"Anticoagulant antagonists, vitamin K and other coagulants causing adverse effects in therapeutic use","Y44.3",,,"Anticoagulant antagonists, vitamin K and other coagulants causing adverse effects in therapeutic use"
339,"Y44.4",,"Antithrombotic drugs [platelet-aggregation inhibitors] causing adverse effects in therapeutic use","Y44.4",,,"Antithrombotic drugs [platelet-aggregation inhibitors] causing adverse effects in therapeutic use"
340,"Y44.5",,"Thrombolytic drugs causing adverse effects in therapeutic use","Y44.5",,,"Thrombolytic drugs causing adverse effects in therapeutic use"
341,"Y44.6",,"Natural blood and blood products causing adverse effects in therapeutic use","Y44.6",,,"Natural blood and blood products causing adverse effects in therapeutic use"
342,"Y44.7",,"Plasma substitutes causing adverse effects in therapeutic use","Y44.7",,,"Plasma substitutes causing adverse effects in therapeutic use"
343,"Y44.9",,"Other and unspecified agents affecting blood constituents causing adverse effects in therapeutic use","Y44.9",,,"Other and unspecified agents affecting blood constituents causing adverse effects in therapeutic use"
344,"Y45.0",,"Opioids and related analgesics causing adverse effects in therapeutic use","Y45.0",,,"Opioids and related analgesics causing adverse effects in therapeutic use"
345,"Y45.1",,"Salicylates causing adverse effects in therapeutic use","Y45.1",,,"Salicylates causing adverse effects in therapeutic use"
346,"Y45.2",,"Propionic acid derivatives causing adverse effects in therapeutic use","Y45.2",,,"Propionic acid derivatives causing adverse effects in therapeutic use"
347,"Y45.3",,"Other nonsteroidal anti-inflammatory drugs [NSAID] causing adverse effects in therapeutic use","Y45.3",,,"Other nonsteroidal anti-inflammatory drugs [NSAID] causing adverse effects in therapeutic use"
348,"Y45.4",,"Antirheumatics causing adverse effects in therapeutic use","Y45.4",,,"Antirheumatics causing adverse effects in therapeutic use"
349,"Y45.5",,"4-Aminophenol derivatives causing adverse effects in therapeutic use","Y45.5",,,"4-Aminophenol derivatives causing adverse effects in therapeutic use"
350,"Y45.8",,"Other analgesics and antipyretics causing adverse effects in therapeutic use","Y45.8",,,"Other analgesics and antipyretics causing adverse effects in therapeutic use"
351,"Y45.9",,"Analgesic, antipyretic and anti-inflammatory drug, unspecified causing adverse effects in therapeutic use","Y45.9",,,"Analgesic, antipyretic and anti-inflammatory drug, unspecified causing adverse effects in therapeutic use"
352,"Y46.0",,"Succinimides causing adverse effects in therapeutic use","Y46.0",,,"Succinimides causing adverse effects in therapeutic use"
353,"Y46.1",,"Oxazolidinediones causing adverse effects in therapeutic use","Y46.1",,,"Oxazolidinediones causing adverse effects in therapeutic use"
354,"Y46.2",,"Hydantoin derivatives causing adverse effects in therapeutic use","Y46.2",,,"Hydantoin derivatives causing adverse effects in therapeutic use"
355,"Y46.3",,"Deoxybarbiturates causing adverse effects in therapeutic use","Y46.3",,,"Deoxybarbiturates causing adverse effects in therapeutic use"
356,"Y46.4",,"Iminostilbenes causing adverse effects in therapeutic use","Y46.4",,,"Iminostilbenes causing adverse effects in therapeutic use"
357,"Y46.5",,"Valproic acid causing adverse effects in therapeutic use","Y46.5",,,"Valproic acid causing adverse effects in therapeutic use"
358,"Y46.6",,"Other and unspecified antiepileptics causing adverse effects in therapeutic use","Y46.6",,,"Other and unspecified antiepileptics causing adverse effects in therapeutic use"
359,"Y46.7",,"Antiparkinsonism drugs causing adverse effects in therapeutic use","Y46.7",,,"Antiparkinsonism drugs causing adverse effects in therapeutic use"
360,"Y46.8",,"Antispasticity drugs causing adverse effects in therapeutic use","Y46.8",,,"Antispasticity drugs causing adverse effects in therapeutic use"
361,"Y47.0",,"Barbiturates, not elsewhere classified causing adverse effects in therapeutic use","Y47.0",,,"Barbiturates, not elsewhere classified causing adverse effects in therapeutic use"
362,"Y47.1",,"Benzodiazepines causing adverse effects in therapeutic use","Y47.1",,,"Benzodiazepines causing adverse effects in therapeutic use"
363,"Y47.2",,"Cloral derivatives causing adverse effects in therapeutic use","Y47.2",,,"Cloral derivatives causing adverse effects in therapeutic use"
364,"Y47.3",,"Paraldehyde causing adverse effects in therapeutic use","Y47.3",,,"Paraldehyde causing adverse effects in therapeutic use"
365,"Y47.4",,"Bromine compounds causing adverse effects in therapeutic use","Y47.4",,,"Bromine compounds causing adverse effects in therapeutic use"
366,"Y47.5",,"Mixed sedatives and hypnotics, not elsewhere classified causing adverse effects in therapeutic use","Y47.5",,,"Mixed sedatives and hypnotics, not elsewhere classified causing adverse effects in therapeutic use"
367,"Y47.8",,"Other sedatives, hypnotics and antianxiety drugs causing adverse effects in therapeutic use","Y47.8",,,"Other sedatives, hypnotics and antianxiety drugs causing adverse effects in therapeutic use"
368,"Y47.9",,"Sedative, hypnotic and antianxiety drug, unspecified causing adverse effects in therapeutic use","Y47.9",,,"Sedative, hypnotic and antianxiety drug, unspecified causing adverse effects in therapeutic use"
369,"Y48.0",,"Inhaled anaesthetics causing adverse effects in therapeutic use","Y48.0",,,"Inhaled anaesthetics causing adverse effects in therapeutic use"
370,"Y48.1",,"Parenteral anaesthetics causing adverse effects in therapeutic use","Y48.1",,,"Parenteral anaesthetics causing adverse effects in therapeutic use"
371,"Y48.2",,"Other and unspecified general anaesthetics causing adverse effects in therapeutic use","Y48.2",,,"Other and unspecified general anaesthetics causing adverse effects in therapeutic use"
372,"Y48.3",,"Local anaesthetics causing adverse effects in therapeutic use","Y48.3",,,"Local anaesthetics causing adverse effects in therapeutic use"
373,"Y48.4",,"Anaesthetic, unspecified causing adverse effects in therapeutic use","Y48.4",,,"Anaesthetic, unspecified causing adverse effects in therapeutic use"
374,"Y48.5",,"Therapeutic gases causing adverse effects in therapeutic use","Y48.5",,,"Therapeutic gases causing adverse effects in therapeutic use"
375,"Y49.0",,"Tricyclic and tetracyclic antidepressants causing adverse effects in therapeutic use","Y49.0",,,"Tricyclic and tetracyclic antidepressants causing adverse effects in therapeutic use"
376,"Y49.1",,"Monoamine-oxidase-inhibitor antidepressants causing adverse effects in therapeutic use","Y49.1",,,"Monoamine-oxidase-inhibitor antidepressants causing adverse effects in therapeutic use"
377,"Y49.2",,"Other and unspecified antidepressants causing adverse effects in therapeutic use","Y49.2",,,"Other and unspecified antidepressants causing adverse effects in therapeutic use"
378,"Y49.3",,"Phenothiazine antipsychotics and neuroleptics causing adverse effects in therapeutic use","Y49.3",,,"Phenothiazine antipsychotics and neuroleptics causing adverse effects in therapeutic use"
379,"Y49.4",,"Butyrophenone and thioxanthene neuroleptics causing adverse effects in therapeutic use","Y49.4",,,"Butyrophenone and thioxanthene neuroleptics causing adverse effects in therapeutic use"
380,"Y49.5",,"Other antipsychotics and neuroleptics causing adverse effects in therapeutic use","Y49.5",,,"Other antipsychotics and neuroleptics causing adverse effects in therapeutic use"
381,"Y49.6",,"Psychodysleptics [hallucinogens] causing adverse effects in therapeutic use","Y49.6",,,"Psychodysleptics [hallucinogens] causing adverse effects in therapeutic use"
382,"Y49.7",,"Psychostimulants with potential for use disorder causing adverse effects in therapeutic use","Y49.7",,,"Psychostimulants with potential for use disorder causing adverse effects in therapeutic use"
383,"Y49.8",,"Other psychotropic drugs, not elsewhere classified causing adverse effects in therapeutic use","Y49.8",,,"Other psychotropic drugs, not elsewhere classified causing adverse effects in therapeutic use"
384,"Y49.9",,"Psychotropic drug, unspecified causing adverse effects in therapeutic use","Y49.9",,,"Psychotropic drug, unspecified causing adverse effects in therapeutic use"
385,"Y50.0",,"Analeptics causing adverse effects in therapeutic use","Y50.0",,,"Analeptics causing adverse effects in therapeutic use"
386,"Y50.1",,"Opioid receptor antagonists causing adverse effects in therapeutic use","Y50.1",,,"Opioid receptor antagonists causing adverse effects in therapeutic use"
387,"Y50.2",,"Methylxanthines, not elsewhere classified causing adverse effects in therapeutic use","Y50.2",,,"Methylxanthines, not elsewhere classified causing adverse effects in therapeutic use"
388,"Y50.8",,"Other central nervous system stimulants causing adverse effects in therapeutic use","Y50.8",,,"Other central nervous system stimulants causing adverse effects in therapeutic use"
389,"Y50.9",,"Central nervous system stimulant, unspecified causing adverse effects in therapeutic use","Y50.9",,,"Central nervous system stimulant, unspecified causing adverse effects in therapeutic use"
390,"Y51.0",,"Anticholinesterase agents causing adverse effects in therapeutic use","Y51.0",,,"Anticholinesterase agents causing adverse effects in therapeutic use"
391,"Y51.1",,"Other parasympathomimetics [cholinergics] causing adverse effects in therapeutic use","Y51.1",,,"Other parasympathomimetics [cholinergics] causing adverse effects in therapeutic use"
392,"Y51.2",,"Ganglionic blocking drugs, not elsewhere classified causing adverse effects in therapeutic use","Y51.2",,,"Ganglionic blocking drugs, not elsewhere classified causing adverse effects in therapeutic use"
393,"Y51.3",,"Other parasympatholytics [anticholinergics and antimuscarinics] and spasmolytics, not elsewhere classified causing adverse effects in therapeutic use","Y51.3",,,"Other parasympatholytics [anticholinergics and antimuscarinics] and spasmolytics, not elsewhere classified causing adverse effects in therapeutic use"
394,"Y51.4",,"Predominantly à-adrenoreceptor agonists, not elsewhere classified causing adverse effects in therapeutic use","Y51.4",,,"Predominantly à-adrenoreceptor agonists, not elsewhere classified causing adverse effects in therapeutic use"
395,"Y51.5",,"Predominantly ß-adrenoreceptor agonists, not elsewhere classified causing adverse effects in therapeutic use","Y51.5",,,"Predominantly ß-adrenoreceptor agonists, not elsewhere classified causing adverse effects in therapeutic use"
396,"Y51.6",,"à-Adrenoreceptor antagonists, not elsewhere classified causing adverse effects in therapeutic use","Y51.6",,,"à-Adrenoreceptor antagonists, not elsewhere classified causing adverse effects in therapeutic use"
397,"Y51.7",,"ß -Adrenoreceptor antagonists, not elsewhere classified causing adverse effects in therapeutic use","Y51.7",,,"ß -Adrenoreceptor antagonists, not elsewhere classified causing adverse effects in therapeutic use"
398,"Y51.8",,"Centrally acting and adrenergic-neuron-blocking agents, not elsewhere classified causing adverse effects in therapeutic use","Y51.8",,,"Centrally acting and adrenergic-neuron-blocking agents, not elsewhere classified causing adverse effects in therapeutic use"
399,"Y51.9",,"Other and unspecified drugs primarily affecting the autonomic nervous system causing adverse effects in therapeutic use","Y51.9",,,"Other and unspecified drugs primarily affecting the autonomic nervous system causing adverse effects in therapeutic use"
400,"Y52.0",,"Cardiac-stimulant glycosides and drugs of similar action causing adverse effects in therapeutic use","Y52.0",,,"Cardiac-stimulant glycosides and drugs of similar action causing adverse effects in therapeutic use"
401,"Y52.1",,"Calcium-channel blockers causing adverse effects in therapeutic use","Y52.1",,,"Calcium-channel blockers causing adverse effects in therapeutic use"
402,"Y52.2",,"Other antidysrhythmic drugs, not elsewhere classified causing adverse effects in therapeutic use","Y52.2",,,"Other antidysrhythmic drugs, not elsewhere classified causing adverse effects in therapeutic use"
403,"Y52.3",,"Coronary vasodilators, not elsewhere classified causing adverse effects in therapeutic use","Y52.3",,,"Coronary vasodilators, not elsewhere classified causing adverse effects in therapeutic use"
404,"Y52.4",,"Angiotensin-converting-enzyme inhibitors causing adverse effects in therapeutic use","Y52.4",,,"Angiotensin-converting-enzyme inhibitors causing adverse effects in therapeutic use"
405,"Y52.5",,"Other antihypertensive drugs, not elsewhere classified causing adverse effects in therapeutic use","Y52.5",,,"Other antihypertensive drugs, not elsewhere classified causing adverse effects in therapeutic use"
406,"Y52.6",,"Antihyperlipidaemic and antiarteriosclerotic drugs causing adverse effects in therapeutic use","Y52.6",,,"Antihyperlipidaemic and antiarteriosclerotic drugs causing adverse effects in therapeutic use"
407,"Y52.7",,"Peripheral vasodilators causing adverse effects in therapeutic use","Y52.7",,,"Peripheral vasodilators causing adverse effects in therapeutic use"
408,"Y52.8",,"Antivaricose drugs, including sclerosing agents causing adverse effects in therapeutic use","Y52.8",,,"Antivaricose drugs, including sclerosing agents causing adverse effects in therapeutic use"
409,"Y52.9",,"Other and unspecified agents primarily affecting the cardiovascular system causing adverse effects in therapeutic use","Y52.9",,,"Other and unspecified agents primarily affecting the cardiovascular system causing adverse effects in therapeutic use"
410,"Y53.0",,"Histamine H2-receptor antagonists causing adverse effects in therapeutic use","Y53.0",,,"Histamine H2-receptor antagonists causing adverse effects in therapeutic use"
411,"Y53.1",,"Other antacids and anti-gastric-secretion drugs causing adverse effects in therapeutic use","Y53.1",,,"Other antacids and anti-gastric-secretion drugs causing adverse effects in therapeutic use"
412,"Y53.2",,"Stimulant laxatives causing adverse effects in therapeutic use","Y53.2",,,"Stimulant laxatives causing adverse effects in therapeutic use"
413,"Y53.3",,"Saline and osmotic laxatives causing adverse effects in therapeutic use","Y53.3",,,"Saline and osmotic laxatives causing adverse effects in therapeutic use"
414,"Y53.4",,"Other laxatives causing adverse effects in therapeutic use","Y53.4",,,"Other laxatives causing adverse effects in therapeutic use"
415,"Y53.5",,"Digestants causing adverse effects in therapeutic use","Y53.5",,,"Digestants causing adverse effects in therapeutic use"
416,"Y53.6",,"Antidiarrhoeal drugs causing adverse effects in therapeutic use","Y53.6",,,"Antidiarrhoeal drugs causing adverse effects in therapeutic use"
417,"Y53.7",,"Emetics causing adverse effects in therapeutic use","Y53.7",,,"Emetics causing adverse effects in therapeutic use"
418,"Y53.8",,"Other agents primarily affecting the gastrointestinal system causing adverse effects in therapeutic use","Y53.8",,,"Other agents primarily affecting the gastrointestinal system causing adverse effects in therapeutic use"
419,"Y53.9",,"Agent primarily affecting the gastrointestinal system, unspecified causing adverse effects in therapeutic use","Y53.9",,,"Agent primarily affecting the gastrointestinal system, unspecified causing adverse effects in therapeutic use"
420,"Y54.0",,"Mineralocorticoids causing adverse effects in therapeutic use","Y54.0",,,"Mineralocorticoids causing adverse effects in therapeutic use"
421,"Y54.1",,"Mineralocorticoid antagonists [aldosterone antagonists] causing adverse effects in therapeutic use","Y54.1",,,"Mineralocorticoid antagonists [aldosterone antagonists] causing adverse effects in therapeutic use"
422,"Y54.2",,"Carbonic-anhydrase inhibitors causing adverse effects in therapeutic use","Y54.2",,,"Carbonic-anhydrase inhibitors causing adverse effects in therapeutic use"
423,"Y54.3",,"Benzothiadiazine derivatives causing adverse effects in therapeutic use","Y54.3",,,"Benzothiadiazine derivatives causing adverse effects in therapeutic use"
424,"Y54.4",,"Loop [high-ceiling] diuretics causing adverse effects in therapeutic use","Y54.4",,,"Loop [high-ceiling] diuretics causing adverse effects in therapeutic use"
425,"Y54.5",,"Other diuretics causing adverse effects in therapeutic use","Y54.5",,,"Other diuretics causing adverse effects in therapeutic use"
426,"Y54.6",,"Electrolytic, caloric and water-balance agents causing adverse effects in therapeutic use","Y54.6",,,"Electrolytic, caloric and water-balance agents causing adverse effects in therapeutic use"
427,"Y54.7",,"Agents affecting calcification causing adverse effects in therapeutic use","Y54.7",,,"Agents affecting calcification causing adverse effects in therapeutic use"
428,"Y54.8",,"Agents affecting uric acid metabolism causing adverse effects in therapeutic use","Y54.8",,,"Agents affecting uric acid metabolism causing adverse effects in therapeutic use"
429,"Y54.9",,"Mineral salts, not elsewhere classified causing adverse effects in therapeutic use","Y54.9",,,"Mineral salts, not elsewhere classified causing adverse effects in therapeutic use"
430,"Y55.0",,"Oxytocic drugs causing adverse effects in therapeutic use","Y55.0",,,"Oxytocic drugs causing adverse effects in therapeutic use"
431,"Y55.1",,"Skeletal muscle relaxants [neuromuscular blocking agents] causing adverse effects in therapeutic use","Y55.1",,,"Skeletal muscle relaxants [neuromuscular blocking agents] causing adverse effects in therapeutic use"
432,"Y55.2",,"Other and unspecified agents primarily acting on muscles causing adverse effects in therapeutic use","Y55.2",,,"Other and unspecified agents primarily acting on muscles causing adverse effects in therapeutic use"
433,"Y55.3",,"Antitussives causing adverse effects in therapeutic use","Y55.3",,,"Antitussives causing adverse effects in therapeutic use"
434,"Y55.4",,"Expectorants causing adverse effects in therapeutic use","Y55.4",,,"Expectorants causing adverse effects in therapeutic use"
435,"Y55.5",,"Anti-common-cold drugs causing adverse effects in therapeutic use","Y55.5",,,"Anti-common-cold drugs causing adverse effects in therapeutic use"
436,"Y55.6",,"Antiasthmatics, not elsewhere classified causing adverse effects in therapeutic use","Y55.6",,,"Antiasthmatics, not elsewhere classified causing adverse effects in therapeutic use"
437,"Y55.7",,"Other and unspecified agents primarily acting on the respiratory system causing adverse effects in therapeutic use","Y55.7",,,"Other and unspecified agents primarily acting on the respiratory system causing adverse effects in therapeutic use"
438,"Y56.0",,"Local antifungal, anti-infective and anti-inflammatory drugs, not elsewhere classified causing adverse effects in therapeutic use","Y56.0",,,"Local antifungal, anti-infective and anti-inflammatory drugs, not elsewhere classified causing adverse effects in therapeutic use"
439,"Y56.1",,"Antipruritics causing adverse effects in therapeutic use","Y56.1",,,"Antipruritics causing adverse effects in therapeutic use"
440,"Y56.2",,"Local astringents and local detergents causing adverse effects in therapeutic use","Y56.2",,,"Local astringents and local detergents causing adverse effects in therapeutic use"
441,"Y56.3",,"Emollients, demulcents and protectants causing adverse effects in therapeutic use","Y56.3",,,"Emollients, demulcents and protectants causing adverse effects in therapeutic use"
442,"Y56.4",,"Keratolytics, keratoplastics and other hair treatment drugs and preparations causing adverse effects in therapeutic use","Y56.4",,,"Keratolytics, keratoplastics and other hair treatment drugs and preparations causing adverse effects in therapeutic use"
443,"Y56.5",,"Ophthalmological drugs and preparations causing adverse effects in therapeutic use","Y56.5",,,"Ophthalmological drugs and preparations causing adverse effects in therapeutic use"
444,"Y56.6",,"Otorhinolaryngological drugs and preparations causing adverse effects in therapeutic use","Y56.6",,,"Otorhinolaryngological drugs and preparations causing adverse effects in therapeutic use"
445,"Y56.7",,"Dental drugs, topically applied causing adverse effects in therapeutic use","Y56.7",,,"Dental drugs, topically applied causing adverse effects in therapeutic use"
446,"Y56.8",,"Other topical agents causing adverse effects in therapeutic use","Y56.8",,,"Other topical agents causing adverse effects in therapeutic use"
447,"Y56.9",,"Topical agent, unspecified causing adverse effects in therapeutic use","Y56.9",,,"Topical agent, unspecified causing adverse effects in therapeutic use"
448,"Y57.0",,"Appetite depressants [anorectics] causing adverse effects in therapeutic use","Y57.0",,,"Appetite depressants [anorectics] causing adverse effects in therapeutic use"
449,"Y57.1",,"Lipotropic drugs causing adverse effects in therapeutic use","Y57.1",,,"Lipotropic drugs causing adverse effects in therapeutic use"
450,"Y57.2",,"Antidotes and chelating agents, not elsewhere classified causing adverse effects in therapeutic use","Y57.2",,,"Antidotes and chelating agents, not elsewhere classified causing adverse effects in therapeutic use"
451,"Y57.3",,"Alcohol deterrents causing adverse effects in therapeutic use","Y57.3",,,"Alcohol deterrents causing adverse effects in therapeutic use"
452,"Y57.4",,"Pharmaceutical excipients causing adverse effects in therapeutic use","Y57.4",,,"Pharmaceutical excipients causing adverse effects in therapeutic use"
453,"Y57.5",,"X-ray contrast media causing adverse effects in therapeutic use","Y57.5",,,"X-ray contrast media causing adverse effects in therapeutic use"
454,"Y57.6",,"Other diagnostic agents causing adverse effects in therapeutic use","Y57.6",,,"Other diagnostic agents causing adverse effects in therapeutic use"
455,"Y57.7",,"Vitamins, not elsewhere classified causing adverse effects in therapeutic use","Y57.7",,,"Vitamins, not elsewhere classified causing adverse effects in therapeutic use"
456,"Y57.8",,"Other drugs and medicaments causing adverse effects in therapeutic use","Y57.8",,,"Other drugs and medicaments causing adverse effects in therapeutic use"
457,"Y57.9",,"Drug or medicament, unspecified causing adverse effects in therapeutic use","Y57.9",,,"Drug or medicament, unspecified causing adverse effects in therapeutic use"
458,"Y58.0",,"BCG vaccine causing adverse effects in therapeutic use","Y58.0",,,"BCG vaccine causing adverse effects in therapeutic use"
459,"Y58.1",,"Typhoid and paratyphoid vaccine causing adverse effects in therapeutic use","Y58.1",,,"Typhoid and paratyphoid vaccine causing adverse effects in therapeutic use"
460,"Y58.2",,"Cholera vaccine causing adverse effects in therapeutic use","Y58.2",,,"Cholera vaccine causing adverse effects in therapeutic use"
461,"Y58.3",,"Plague vaccine causing adverse effects in therapeutic use","Y58.3",,,"Plague vaccine causing adverse effects in therapeutic use"
462,"Y58.4",,"Tetanus vaccine causing adverse effects in therapeutic use","Y58.4",,,"Tetanus vaccine causing adverse effects in therapeutic use"
463,"Y58.5",,"Diphtheria vaccine causing adverse effects in therapeutic use","Y58.5",,,"Diphtheria vaccine causing adverse effects in therapeutic use"
464,"Y58.6",,"Pertussis vaccine, including combinations with a pertussis component causing adverse effects in therapeutic use","Y58.6",,,"Pertussis vaccine, including combinations with a pertussis component causing adverse effects in therapeutic use"
465,"Y58.8",,"Mixed bacterial vaccines, except combinations with a pertussis component causing adverse effects in therapeutic use","Y58.8",,,"Mixed bacterial vaccines, except combinations with a pertussis component causing adverse effects in therapeutic use"
466,"Y58.9",,"Other and unspecified bacterial vaccines causing adverse effects in therapeutic use","Y58.9",,,"Other and unspecified bacterial vaccines causing adverse effects in therapeutic use"
467,"Y59.0",,"Viral vaccines causing adverse effects in therapeutic use","Y59.0",,,"Viral vaccines causing adverse effects in therapeutic use"
468,"Y59.1",,"Rickettsial vaccines causing adverse effects in therapeutic use","Y59.1",,,"Rickettsial vaccines causing adverse effects in therapeutic use"
469,"Y59.2",,"Protozoal vaccines causing adverse effects in therapeutic use","Y59.2",,,"Protozoal vaccines causing adverse effects in therapeutic use"
470,"Y59.3",,"Immunoglobulin causing adverse effects in therapeutic use","Y59.3",,,"Immunoglobulin causing adverse effects in therapeutic use"
471,"Y59.8",,"Other specified vaccines and biological substances causing adverse effects in therapeutic use","Y59.8",,,"Other specified vaccines and biological substances causing adverse effects in therapeutic use"
472,"Y59.9",,"Vaccine or biological substance, unspecified causing adverse effects in therapeutic use","Y59.9",,,"Vaccine or biological substance, unspecified causing adverse effects in therapeutic use"
473,"Y60.0",,"Unintentional cut, puncture, perforation or haemorrhage during surgical operation","Y60.0",,,"Unintentional cut, puncture, perforation or haemorrhage during surgical operation"
474,"Y60.1",,"Unintentional cut, puncture, perforation or haemorrhage during infusion or transfusion","Y60.1",,,"Unintentional cut, puncture, perforation or haemorrhage during infusion or transfusion"
475,"Y60.2",,"Unintentional cut, puncture, perforation or haemorrhage during kidney dialysis or other perfusion","Y60.2",,,"Unintentional cut, puncture, perforation or haemorrhage during kidney dialysis or other perfusion"
476,"Y60.3",,"Unintentional cut, puncture, perforation or haemorrhage during injection or immunisation","Y60.3",,,"Unintentional cut, puncture, perforation or haemorrhage during injection or immunisation"
477,"Y60.4",,"Unintentional cut, puncture, perforation or haemorrhage during endoscopic examination","Y60.4",,,"Unintentional cut, puncture, perforation or haemorrhage during endoscopic examination"
478,"Y60.5",,"Unintentional cut, puncture, perforation or haemorrhage during heart catheterisation","Y60.5",,,"Unintentional cut, puncture, perforation or haemorrhage during heart catheterisation"
479,"Y60.6",,"Unintentional cut, puncture, perforation or haemorrhage during aspiration, puncture and other catheterisation","Y60.6",,,"Unintentional cut, puncture, perforation or haemorrhage during aspiration, puncture and other catheterisation"
480,"Y60.7",,"Unintentional cut, puncture, perforation or haemorrhage during administration of enema","Y60.7",,,"Unintentional cut, puncture, perforation or haemorrhage during administration of enema"
481,"Y60.8",,"Unintentional cut, puncture, perforation or haemorrhage during other surgical and medical care","Y60.8",,,"Unintentional cut, puncture, perforation or haemorrhage during other surgical and medical care"
482,"Y60.9",,"Unintentional cut, puncture, perforation or haemorrhage during unspecified surgical and medical care","Y60.9",,,"Unintentional cut, puncture, perforation or haemorrhage during unspecified surgical and medical care"
483,"Y61.0",,"Foreign object accidentally left in body during surgical operation","Y61.0",,,"Foreign object accidentally left in body during surgical operation"
484,"Y61.1",,"Foreign object accidentally left in body during infusion or transfusion","Y61.1",,,"Foreign object accidentally left in body during infusion or transfusion"
485,"Y61.2",,"Foreign object accidentally left in body during kidney dialysis or other perfusion","Y61.2",,,"Foreign object accidentally left in body during kidney dialysis or other perfusion"
486,"Y61.3",,"Foreign object accidentally left in body during injection or immunisation","Y61.3",,,"Foreign object accidentally left in body during injection or immunisation"
487,"Y61.4",,"Foreign object accidentally left in body during endoscopic examination","Y61.4",,,"Foreign object accidentally left in body during endoscopic examination"
488,"Y61.5",,"Foreign object accidentally left in body during heart catheterisation","Y61.5",,,"Foreign object accidentally left in body during heart catheterisation"
489,"Y61.6",,"Foreign object accidentally left in body during aspiration, puncture and other catheterisation","Y61.6",,,"Foreign object accidentally left in body during aspiration, puncture and other catheterisation"
490,"Y61.7",,"Foreign object accidentally left in body during removal of catheter or packing","Y61.7",,,"Foreign object accidentally left in body during removal of catheter or packing"
491,"Y61.8",,"Foreign object accidentally left in body during other surgical and medical care","Y61.8",,,"Foreign object accidentally left in body during other surgical and medical care"
